district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share,walk_reach_nodes_10min_point,metro_walk_time_s_point,res_buildings_density_km2_pct,walk_reach_nodes_10min_point_pct,metro_walk_time_s_point_pct,competitor_density_km2_pct,dormitory_cnt_pct,cemetery_area_share_pct,index_score_0_1,index_rank
1,Филёвский Парк,9.630071048231354,0,0.0,12,1.2460967255484479,906.4809299572519,308,31.98314928907683,2,0.0,1114,692.6729485499977,0.4520547945205479,0.4520547945205479,0.5821917808219178,0.8561643835616438,0.7054794520547946,0.7363013698630136,0.5655821917808218,54.0
77,Зюзино,5.3962782676341154,4,0.7412516185444447,26,4.81813552053889,434.5024624402009,396,73.38391023590002,3,0.0,748,791.0279701500622,0.8972602739726028,0.3356164383561644,0.5205479452054795,0.17808219178082196,0.7808219178082192,0.7363013698630136,0.5597602739726028,55.0
106,Ростокино,3.4978203324224015,1,0.2858923286398344,6,1.7153539718390063,777.8305031972014,167,47.744018882852345,1,0.005033570935457663,1581,996.1913029154282,0.6986301369863014,0.6986301369863014,0.3835616438356164,0.3904109589041096,0.571917808219178,0.1643835616438356,0.5563356164383562,56.0
131,Рязанский,6.362593980225327,2,0.31433720369646645,14,2.200360425875265,657.192079955869,331,52.0228072117652,3,0.0,416,602.6013648960288,0.7397260273972602,0.23972602739726026,0.6712328767123288,0.36986301369863017,0.7808219178082192,0.7363013698630136,0.5474315068493151,57.0
48,Левобережный,6.406156474750569,1,0.15609983988705742,8,1.2487987190964593,574.7453092254185,165,25.756473581364475,0,0.0,1694,580.365371887556,0.3082191780821918,0.7534246575342466,0.678082191780822,0.5342465753424658,0.24315068493150685,0.7363013698630136,0.5455479452054796,58.0
130,Зябликово,4.598854860159545,3,0.6523363078903349,19,4.131463283305455,126.43347786428978,169,36.7482786778222,1,0.0,1071,149.0524276795447,0.5273972602739726,0.4315068493150685,0.910958904109589,0.20547945205479456,0.571917808219178,0.7363013698630136,0.5445205479452054,59.0
103,Царицыно,8.282006659330793,4,0.48297473843412847,16,1.9318989537365139,849.0153659685936,352,42.5017769822033,0,0.0441631913678367,2318,914.6588537710169,0.6164383561643836,0.8767123287671232,0.43150684931506844,0.26027397260273977,0.24315068493150685,0.006849315068493178,0.5419520547945206,60.0
21,Дмитровский,7.072462088012866,0,0.0,11,1.5553282383293263,1153.396247014858,215,30.39959738552774,3,0.0,1448,1272.0235291151403,0.410958904109589,0.6301369863013698,0.273972602739726,0.8561643835616438,0.7808219178082192,0.7363013698630136,0.5398972602739726,61.0
67,Северный,10.526027513912489,1,0.095002601758192,5,0.47501300879096003,1146.4517200806306,439,41.70614217184629,0,0.009425086435456443,1542,968.5996852673466,0.5753424657534246,0.678082191780822,0.4178082191780822,0.6232876712328768,0.24315068493150685,0.1095890410958904,0.5368150684931507,62.0
94,Нагорный,5.293359474221265,2,0.3778318872428801,18,3.400486985185921,545.9044894276999,252,47.6068177926029,0,0.0,959,631.1077286900245,0.684931506849315,0.4041095890410959,0.6506849315068493,0.3082191780821918,0.24315068493150685,0.7363013698630136,0.5318493150684932,63.0
