district_name,demand_total,mean_time_min,p50_time_min,p90_time_min,share_5min,share_10min,share_15min
Марьино,18152059.184323013,21.291040380305482,17.817939004458523,42.941219135997315,0.0631124773516591,0.20124211419262103,0.37247549975922184
Сокольники,3997886.2746288846,122.82278066345178,120.82707783022515,133.67539642214066,0.0,0.0,0.0
Богородское,8087881.337194677,115.90915251829749,115.72077891050816,132.26750964287618,0.0,0.0,0.0
Тёплый Стан,8339917.254841121,50.896222489279346,53.26516443731409,69.03107567962863,0.0,0.0,0.0
Чертаново Центральное,5872728.049740038,61.12051267983421,62.26899394655991,69.01687645336375,0.0,0.0,0.0
Нагорный,4683993.4223268125,51.43310991818253,51.88146097153254,57.14466530344149,0.0,0.0,0.0
Нагатинский Затон,7174525.209114202,103.92732047120607,104.77919731409347,111.31737280700456,0.0,0.0,0.0
Ново-Переделкино,6292061.974023979,116.38410369360807,117.57143199343054,127.86114990204565,0.0,0.0,0.0
Северное Тушино,9372484.094716314,70.56531311064641,71.90510603636855,81.00604804940899,0.0,0.0,0.0
Перово,8341434.03859476,161.769627185538,166.45157322186245,177.56396242955705,0.0,0.0,0.0
Кокошкино,774884.4927108411,299.3571823199052,301.91338018170205,306.066199809645,0.0,0.0,0.0
Дорогомилово,5439768.107080822,85.36525057410438,88.23258435436091,97.5013814576958,0.0,0.0,0.0
Нагатино-Садовники,5061317.146449391,88.67132172138467,88.26245656936322,101.21200737312778,0.0,0.0,0.0
Южное Тушино,6173055.806116367,71.41275284596017,75.16232758806065,89.06063135409053,0.0,0.0,0.0
Гагаринский,7011786.568684474,31.924413500863352,29.720266977266814,52.066302375586865,0.0,0.0,0.09062531278451426
Воскресенское,1520952.0717953374,52.36246514980919,48.45453988111346,85.93216186645049,0.0,0.0,0.0
Останкинский,6040749.204513818,48.21078616511996,60.14283295918859,78.65674570288535,0.0668309859975571,0.21963790892815843,0.32897074053894887
Рязановское,3901970.0573584065,118.79310435782256,124.13022421544227,133.88947866329553,0.0,0.0,0.0
Митино,15219211.281798132,13.819215398961791,11.514391491443666,25.838824606800536,0.1578289450130202,0.4631475190575674,0.6385427629727923
Марушкинское,851587.3573018276,309.7323216358417,340.8995529126183,345.0494058107989,0.0,0.0,0.0
Лосиноостровский,5406404.529021986,77.35766355743431,77.34890102146328,93.34545917239392,0.0,0.0,0.0
Покровское-Стрешнево,6405927.986981743,78.20702102327773,80.31203774565095,91.78064252098791,0.0,0.0,0.0
Чертаново Северное,6120098.145746539,59.35247462824071,61.38116128247511,69.48032984072955,0.0,0.0,0.0
Киевский,389919.7307825043,679.2836240228328,678.6950729594755,682.2487774276792,0.0,0.0,0.0
Старое Крюково,2196122.9395046476,0.0,0.0,0.0,1.0,1.0,1.0
Силино,2852071.500277724,0.0,0.0,0.0,1.0,1.0,1.0
Южное Медведково,5447340.733071743,38.18450799252939,37.80997947156304,47.0587623094119,0.0,0.0,0.0
Восточное Дегунино,5787109.935432203,19.178998908655217,19.270163705946537,30.195225482454614,0.058939056724847366,0.16006193545242223,0.34386989086514735
Бибирево,7819933.14348847,66.30886564213118,65.56759308658782,74.36167923103147,0.0,0.0,0.0
Головинский,7898154.82466947,26.42974924345044,27.186251460417793,39.759379839841316,0.01709345415716845,0.08822432807904731,0.2153689320136866
Измайлово,7412738.536587399,191.03751918844998,193.2403678368305,202.60019770475793,0.0,0.0,0.0
Даниловский,10365360.513249308,110.80649575113664,113.12612376130956,133.86052300668726,0.0,0.0,0.0
