district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share
104,Басманный,8.399195567108192,8,0.9524721666594514,25,2.976475520810786,802.9097830922523,685,81.55542927021553,11,0.0
105,Красносельский,4.9947198572318445,4,0.8008457159430891,34,6.807188585516257,94.42069842976858,224,44.847360092812984,2,0.0
106,Ростокино,3.4978203324224015,1,0.2858923286398344,6,1.7153539718390063,777.8305031972014,167,47.744018882852345,1,0.005033570935457663
107,Таганский,8.085800207557348,8,0.9893887796686894,29,3.586534326298999,630.1789044199869,453,56.024139648739535,2,0.019069047023731852
108,Алексеевский,5.2357621658680635,0,0.0,5,0.9549708030274948,788.4452198403587,246,46.984563508952746,7,0.0019344007906720302
109,Сокольники,10.32150954996828,0,0.0,9,0.8719654771842612,1036.7509032905964,240,23.252412724913633,9,0.0
110,Бирюлёво Восточное,14.820194452546978,2,0.13495099584582596,1,0.06747549792291298,693.3625940847586,225,15.18198703265542,0,0.0
111,Бабушкинский,4.934054851320013,5,1.0133653051429585,7,1.418711427200142,166.3260271116766,277,56.1404379049199,1,0.0
112,Южнопортовый,4.581068613524204,1,0.21828967962798151,19,4.147503912931649,195.40350934636686,233,50.8614953533197,1,0.0
113,Ярославский,8.352266846834157,0,0.0,1,0.11972797545124411,1070.29628122391,204,24.4245069920538,4,0.0015908774298982618
114,Печатники,18.446465144575242,2,0.1084218566714481,23,1.246851351721653,73.42494699754896,240,13.010622800573772,1,0.0
115,Богородское,8.660017228182904,4,0.46189284554567844,8,0.9237856910913569,1099.8543234370218,447,51.61652548972956,5,0.0028445232205692055
116,Метрогородок,27.456360406126258,0,0.0,4,0.14568573331764292,2680.33789690707,154,5.608900732729253,4,0.0001672308799216017
117,Лефортово,8.991167689047579,3,0.33366077730419746,17,1.8907444047237856,681.5192208160254,287,31.920214362101557,5,0.008794939499318003
118,Орехово-Борисово Северное,7.466071788083012,2,0.26787848506791817,9,1.2054531828056316,844.0698892644558,146,19.555129409958024,0,0.0011496952457378104
119,Лосиноостровский,5.367062253873463,6,1.117930017612473,1,0.18632166960207883,2119.743047138335,244,45.462487382907234,1,0.0
120,Нижегородский,7.5339356167298215,3,0.3981982528943059,14,1.8582585135067609,348.93804482322264,201,26.679282943918494,2,0.012964970305242617
121,Перово,9.945866100771292,11,1.105987139636533,12,1.2065314250580361,1049.3938430393298,562,56.50588840688469,1,0.0
122,Орехово-Борисово Южное,7.11215366499501,14,1.9684614055663576,11,1.5466482472307095,1050.3563526714718,208,29.2457123112716,0,0.001320932339339574
123,Марьино,11.755065161762156,4,0.34027884532801483,17,1.446185092644063,146.80760227268738,365,31.05044463618135,0,0.0
124,Вешняки,10.5180519958137,2,0.19014927866833345,4,0.3802985573366669,1598.476539511075,213,20.25089817817751,2,0.0055897115522551425
