district_name,res_buildings_density_km2_contrib,walk_reach_nodes_10min_point_contrib,metro_walk_time_s_point_contrib,competitor_density_km2_contrib,dormitory_cnt_contrib,cemetery_area_share_contrib,index_score_0_1,index_rank,top3_contrib
Марьино,0.12739726027397258,0.136986301369863,0.16164383561643836,0.052397260273972596,0.012157534246575343,0.036815068493150686,0.5273972602739726,64.0,"metro_walk_time_s_point=0.162, walk_reach_nodes_10min_point=0.137, res_buildings_density_km2=0.127"
Восточное Измайлово,0.25273972602739725,0.10616438356164383,0.05068493150684932,0.033904109589041095,0.0464041095890411,0.036815068493150686,0.5267123287671233,65.0,"res_buildings_density_km2=0.253, walk_reach_nodes_10min_point=0.106, metro_walk_time_s_point=0.051"
Северное Тушино,0.14383561643835616,0.1832191780821918,0.14794520547945209,0.0010273972602739766,0.012157534246575343,0.036815068493150686,0.525,66.0,"walk_reach_nodes_10min_point=0.183, metro_walk_time_s_point=0.148, res_buildings_density_km2=0.144"
Митино,0.10684931506849314,0.21575342465753425,0.16986301369863016,0.0020547945205479532,0.012157534246575343,0.01404109589041096,0.5207191780821918,67.0,"walk_reach_nodes_10min_point=0.216, metro_walk_time_s_point=0.170, res_buildings_density_km2=0.107"
Северное Медведково,0.17054794520547947,0.1386986301369863,0.14246575342465753,0.0030821917808219134,0.028595890410958905,0.036815068493150686,0.5202054794520548,68.0,"res_buildings_density_km2=0.171, metro_walk_time_s_point=0.142, walk_reach_nodes_10min_point=0.139"
Обручевский,0.11301369863013698,0.19606164383561644,0.08767123287671233,0.03801369863013699,0.04845890410958904,0.036815068493150686,0.5200342465753424,69.0,"walk_reach_nodes_10min_point=0.196, res_buildings_density_km2=0.113, metro_walk_time_s_point=0.088"
Соколиная Гора,0.19931506849315067,0.0821917808219178,0.07123287671232877,0.08424657534246575,0.04400684931506849,0.036815068493150686,0.5178082191780822,70.0,"res_buildings_density_km2=0.199, competitor_density_km2=0.084, walk_reach_nodes_10min_point=0.082"
Богородское,0.21780821917808219,0.13184931506849315,0.06986301369863013,0.0410958904109589,0.04400684931506849,0.00993150684931507,0.514554794520548,71.0,"res_buildings_density_km2=0.218, walk_reach_nodes_10min_point=0.132, metro_walk_time_s_point=0.070"
Куркино,0.1541095890410959,0.1815068493150685,0.019178082191780833,0.12842465753424656,0.012157534246575343,0.01643835616438356,0.5118150684931507,72.0,"walk_reach_nodes_10min_point=0.182, res_buildings_density_km2=0.154, competitor_density_km2=0.128"
Киевский,0.24863013698630135,0.0410958904109589,0.024657534246575352,0.12842465753424656,0.028595890410958905,0.036815068493150686,0.5082191780821917,73.0,"res_buildings_density_km2=0.249, competitor_density_km2=0.128, walk_reach_nodes_10min_point=0.041"
Донской,0.15,0.11815068493150685,0.1095890410958904,0.07910958904109588,0.04777397260273973,0.0010273972602739712,0.5056506849315069,74.0,"res_buildings_density_km2=0.150, walk_reach_nodes_10min_point=0.118, metro_walk_time_s_point=0.110"
