district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,demand_total_eff,share_10min_eff,share_15min_eff,mean_time_min_eff,p50_time_min_eff,p90_time_min_eff,demand_total_keep,share_10min_keep,share_15min_keep,mean_time_min_keep,p50_time_min_keep,p90_time_min_keep,delta_mean_minus_base,delta_eff_minus_base,delta_keep_minus_base,delta_share10_mean_minus_base,delta_share10_eff_minus_base,delta_share10_keep_minus_base
Южнопортовый,5033063.397813199,0.0,0.0,125.1320749616417,123.87527845237831,139.10741325561034,5033063.397813199,0.09874093624762778,0.25459140412442394,21.298302802003818,19.8404726968177,35.47166085115869,5033063.397813199,0.0,0.0,43.29535730630101,43.110370337971794,59.274560812653064,5033063.397813199,0.0,0.0,43.29535730630101,43.110370337971794,59.274560812653064,-103.83377215963789,-81.83671765534069,-81.83671765534069,0.09874093624762778,0.0,0.0
Северное Измайлово,4747516.943146631,0.0,0.012107670616280885,29.07470141927977,29.315070490863565,37.73088804971734,4747516.943146631,0.18223055819567305,0.27671502350580157,28.18827887354398,31.55348496289854,47.191488264384425,4747516.943146631,0.21646346817160725,0.386935311378413,17.88379314410994,18.308567111083693,28.279535701073527,4747516.943146631,0.21646346817160725,0.386935311378413,17.88379314410994,18.308567111083693,28.279535701073527,-0.8864225457357904,-11.190908275169829,-11.190908275169829,0.18223055819567305,0.21646346817160725,0.21646346817160725
Марьина Роща,4556323.336127144,0.0,0.0,97.4040213382781,97.23154572083023,110.63870426425454,4556323.336127144,0.0,0.0,36.12119524328032,35.582122097934274,45.467243054596906,4556323.336127144,0.0,0.0,35.77314943480856,35.50687834753493,44.58069172640235,4556323.336127144,0.0,0.0,35.77314943480856,35.50687834753493,44.58069172640235,-61.28282609499778,-61.63087190346954,-61.63087190346954,0.0,0.0,0.0
Кузьминки,7638014.871014188,0.0,0.0,77.44844550330825,76.5822421153122,87.51807540636649,7638014.871014188,0.06618751523519514,0.1731789481507653,22.300113294664445,22.279000064873586,32.38664820006457,7638014.871014188,0.2074310151427925,0.36493619144390005,18.56207253280063,18.43122735975218,29.27617001991057,7638014.871014188,0.2074310151427925,0.36493619144390005,18.56207253280063,18.43122735975218,29.27617001991057,-55.14833220864381,-58.88637297050762,-58.88637297050762,0.06618751523519514,0.2074310151427925,0.2074310151427925
Новогиреево,5218674.826902792,0.0,0.0,78.88766745031522,78.41176660394383,86.65601599058658,5218674.826902792,0.24505095231317528,0.4492889239832925,15.82798782757646,15.914438249197946,24.26798995092627,5218674.826902792,0.323781146260236,0.5304998245128455,16.84901084604941,14.578135172788942,30.39920091032402,5218674.826902792,0.323781146260236,0.5304998245128455,16.84901084604941,14.578135172788942,30.39920091032402,-63.05967962273876,-62.03865660426581,-62.03865660426581,0.24505095231317528,0.323781146260236,0.323781146260236
Бутырский,5355267.498873312,0.0,0.0,73.22340271348583,69.43656820501165,96.94346668306272,5355267.498873312,0.0958426226122894,0.22189717250412905,23.041304159712606,23.04532610092078,36.00820141115505,5355267.498873312,0.0958426226122894,0.22189717250412905,23.041304159712606,23.04532610092078,36.00820141115505,5355267.498873312,0.0958426226122894,0.22189717250412905,23.041304159712606,23.04532610092078,36.00820141115505,-50.182098553773216,-50.182098553773216,-50.182098553773216,0.0958426226122894,0.0958426226122894,0.0958426226122894
Филёвский Парк,7930222.716647852,0.0,0.0,86.8720667062048,85.6937826946194,115.47526073860928,7930222.716647852,0.010425939734291664,0.033795330067775756,32.72702368525751,33.59355096063646,45.86037052683697,7930222.716647852,0.22764967337379524,0.3822900955493101,21.448888238654643,23.539206311396526,36.35027413692964,7930222.716647852,0.010425939734291664,0.010425939734291664,56.383310598625265,59.52115997059869,65.4313967911681,-54.1450430209473,-65.42317846755016,-30.48875610757954,0.010425939734291664,0.22764967337379524,0.010425939734291664
Войковский,5876187.792257138,0.0,0.0,63.2575854756928,65.66223876235794,79.03990644819861,5876187.792257138,0.0,0.0,42.4395033775599,42.64921270679483,49.48412289126962,5876187.792257138,0.0,0.0,52.38910081394514,52.02033969158858,60.48289618791328,5876187.792257138,0.0,0.0,52.38910081394514,52.02033969158858,60.48289618791328,-20.818082098132898,-10.868484661747658,-10.868484661747658,0.0,0.0,0.0
Беговой,2974588.471876837,0.0,0.0,126.8839196922493,126.0899892191186,139.34991885645383,2974588.471876837,0.0,0.0,41.45646693743317,43.168838174276,47.218676854068775,2974588.471876837,0.0,0.0,39.52788381118289,39.61442120913955,46.44546690185593,2974588.471876837,0.0,0.0,39.52788381118289,39.61442120913955,46.44546690185593,-85.42745275481613,-87.3560358810664,-87.3560358810664,0.0,0.0,0.0
Красносельский,4122585.503462282,0.0,0.0,131.09987814176847,130.64350402826656,143.78590622365147,4122585.503462282,0.0,0.0,41.47688564346316,43.50643857156913,55.041479391257326,4122585.503462282,0.0,0.0,54.130254420869136,54.53918510792196,58.488381913964005,4122585.503462282,0.0,0.0,54.130254420869136,54.53918510792196,58.488381913964005,-89.62299249830531,-76.96962372089934,-76.96962372089934,0.0,0.0,0.0
