district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,delta_share_10min,delta_share_15min,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min
Лосиноостровский,5406404.529021986,0.0,0.0,77.35766355743431,77.34890102146328,93.34545917239392,5406404.529021986,0.0,0.059727097906229314,32.069048320633115,31.88493734419691,46.689654169557315,0.0,0.059727097906229314,-45.28861523680119,-45.463963677266364,-46.6558050028366
Покровское-Стрешнево,6405927.986981743,0.0,0.0,78.20702102327773,80.31203774565095,91.78064252098791,6405927.986981743,0.015407325491887216,0.09008599013603959,34.34371531755458,34.12453752428451,54.6631806272961,0.015407325491887216,0.09008599013603959,-43.86330570572315,-46.18750022136644,-37.11746189369181
Чертаново Северное,6120098.145746539,0.0,0.0,60.39549353441631,61.38116128247511,73.42760411784133,6120098.145746539,0.0,0.09888822108480448,25.628776474176618,24.746148084247196,36.46063523332412,0.0,0.09888822108480448,-34.76671706023969,-36.63501319822792,-36.96696888451721
Киевский,389919.7307825043,0.0,0.0,180.0,180.0,180.0,389919.7307825043,0.0,0.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0
Старое Крюково,2196122.9395046476,1.0,1.0,0.0,0.0,0.0,2196122.9395046476,0.0,0.0,179.99999999999997,180.0,180.0,-1.0,-1.0,179.99999999999997,180.0,180.0
Силино,2852071.500277724,1.0,1.0,0.0,0.0,0.0,2852071.500277724,0.0,0.0,180.00000000000003,180.0,180.0,-1.0,-1.0,180.00000000000003,180.0,180.0
Южное Медведково,5447340.733071743,0.0,0.0,38.18450799252939,37.80997947156304,47.0587623094119,5447340.733071743,0.0,0.0,39.907361824367186,39.58137098417233,46.766446985301314,0.0,0.0,1.7228538318377957,1.7713915126092914,-0.29231532411058225
Восточное Дегунино,5787109.935432203,0.16006193545242223,0.34386989086514735,19.178998908655217,19.270163705946537,30.195225482454614,5787109.935432203,0.0,0.0,33.409273830018016,31.339284658654968,46.254434060157465,-0.16006193545242223,-0.34386989086514735,14.230274921362799,12.069120952708431,16.05920857770285
Бибирево,7819933.14348847,0.0,0.0,66.30886564213118,65.56759308658782,74.36167923103147,7819933.14348847,0.0,0.0,49.16283445373746,47.648127464814316,61.26468519150692,0.0,0.0,-17.14603118839372,-17.919465621773504,-13.096994039524553
Головинский,7898154.82466947,0.08822432807904731,0.2153689320136866,26.42974924345044,27.186251460417793,39.759379839841316,7898154.82466947,0.08822432807904731,0.2153689320136866,26.81004551862039,27.186251460417793,39.759379839841316,0.0,0.0,0.38029627516995035,0.0,0.0
Измайлово,7412738.536587399,0.3072661347289172,0.47725554023994504,16.310790459477598,15.059516178419143,30.793880764305367,7412738.536587399,0.0,0.0537333899973482,26.107668445079764,25.672990466683935,35.49175378364186,-0.3072661347289172,-0.4235221502425969,9.796877985602165,10.613474288264792,4.697873019336495
Даниловский,10365360.513249308,0.0,0.0,110.80649575113664,113.12612376130956,133.86052300668726,10365360.513249308,0.05732233460719857,0.15016514938045813,26.060329517009784,25.487512463138625,41.84473891064468,0.05732233460719857,0.15016514938045813,-84.74616623412686,-87.63861129817093,-92.01578409604258
