district_name,total_w,covered_w_k20,share_10min_k20,covered_w_k30,share_10min_k30,covered_w_k40,share_10min_k40,covered_w_k60,share_10min_k60,delta_share_30_minus_20,delta_share_40_minus_20
Северное Тушино,9372484.094716314,0.0,0.0,2573348.802731498,0.2745642218995292,2573348.802731498,0.2745642218995292,3617866.4681795356,0.3860093473211747,0.2745642218995292,0.2745642218995292
Северный,3880793.9953464055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Силино,2852071.500277724,2852071.500277724,1.0,2852071.500277724,1.0,2852071.500277724,1.0,2852071.500277724,1.0,0.0,0.0
Сокол,4293592.275901007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Соколиная Гора,5612142.264979303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сокольники,3997886.2746288846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Солнцево,10063190.635127146,0.0,0.0,2625400.6333740754,0.2608914735461438,5036341.391215291,0.5004716271234245,5036341.391215291,0.5004716271234245,0.2608914735461438,0.5004716271234245
Сосенское,19627538.223976653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Старое Крюково,2196122.939504647,2196122.939504647,1.0,2196122.939504647,1.0,2196122.939504647,1.0,2196122.939504647,1.0,0.0,0.0
Строгино,8191019.879891643,0.0,0.0,0.0,0.0,0.0,0.0,2230927.354528491,0.2723625857636184,0.0,0.0
Таганский,10257600.0496048,0.0,0.0,2587577.534044157,0.252259546241896,2587577.534044157,0.252259546241896,2587577.534044157,0.252259546241896,0.252259546241896,0.252259546241896
Тверской,6737191.105994412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Текстильщики,6202199.871460067,0.0,0.0,0.0,0.0,0.0,0.0,568209.7677312822,0.0916142303549336,0.0,0.0
Тимирязевский,6686707.731336119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Троицк,3780987.10375794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Тропарёво-Никулино,11999822.09247969,2960842.254163197,0.24674051259632937,5537162.685824425,0.4614370649123685,5537162.685824425,0.4614370649123685,5537162.685824425,0.4614370649123685,0.21469655231603915,0.21469655231603915
Тёплый Стан,8339917.254841121,0.0,0.0,0.0,0.0,0.0,0.0,206638.42347636417,0.024777035210561058,0.0,0.0
Фили-Давыдково,7445195.88291147,0.0,0.0,0.0,0.0,0.0,0.0,89606.15765708273,0.012035433192933258,0.0,0.0
Филимонковское,1695097.826787551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Филёвский Парк,7930222.716647853,0.0,0.0,0.0,0.0,0.0,0.0,2096990.714224776,0.264430242270823,0.0,0.0
Хамовники,9886214.639259288,0.0,0.0,0.0,0.0,0.0,0.0,2365819.266917278,0.23930486573924253,0.0,0.0
Ховрино,8859950.430398973,3582156.005684268,0.4043088089289637,3653081.339850153,0.41231397043895773,3653081.339850153,0.41231397043895773,3653081.339850153,0.41231397043895773,0.00800516150999403,0.00800516150999403
Хорошёво-Мнёвники,17266518.712499056,0.0,0.0,2697045.520944577,0.15620088599517246,5225777.215179971,0.30265378344026495,7635279.40108722,0.44220143783588056,0.15620088599517246,0.30265378344026495
Хорошёвский,8705399.698859362,0.0,0.0,0.0,0.0,0.0,0.0,2303108.370540646,0.2645608990064424,0.0,0.0
Царицыно,6168053.286509664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Чертаново Северное,6120098.145746539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Чертаново Центральное,5872728.049740038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Чертаново Южное,9134735.63948568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Черёмушки,9127049.498415338,3286848.4174953923,0.3601216820469817,3286848.4174953923,0.3601216820469817,5140079.444035919,0.5631698880266129,5140079.444035919,0.5631698880266129,0.0,0.20304820597963125
Щаповское,58663.83114889708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Щербинка,4490664.236838415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Щукино,8242784.150541632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Южное Бутово,17144547.196935378,3099310.8975290623,0.1807753136859205,3099310.8975290623,0.1807753136859205,3099310.8975290623,0.1807753136859205,3099310.8975290623,0.1807753136859205,0.0,0.0
Южное Медведково,5447340.7330717435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Южное Тушино,6173055.806116367,0.0,0.0,0.0,0.0,0.0,0.0,1225048.8689856145,0.19845096293667322,0.0,0.0
Южнопортовый,5033063.3978132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Якиманка,3915005.715678209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ярославский,5629198.323287386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ясенево,10279508.069647923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
