district_name,mean_time_min_k20,p50_time_min_k20,p90_time_min_k20,share_10min_k20,share_15min_k20,D_effective_k20,D_effective_share_k20,demand_total_k20,mean_time_min_k30,p50_time_min_k30,p90_time_min_k30,share_10min_k30,share_15min_k30,D_effective_k30,D_effective_share_k30,demand_total_k30,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min,delta_share_10min,delta_share_15min,delta_D_effective
Зюзино,29.54809354314608,29.687772778516607,43.80471052469569,0.0,0.0637239741085966,4789107.9817561135,0.632566756922546,7570913.155562031,29.54809354314608,29.687772778516607,43.80471052469569,0.0,0.0637239741085966,4789107.9817561135,0.632566756922546,7570913.155562031,0.0,0.0,0.0,0.0,0.0,0.0
Текстильщики,82.23756681148699,80.55210044206022,101.7637436195716,0.0,0.0,1240439.9742920138,0.20000000000000004,6202199.871460068,70.5012885880232,70.8053197444536,77.33129631702774,0.0,0.0,1263116.9450139105,0.20365627860950544,6202199.871460068,-11.736278223463785,-9.746780697606624,-24.432447302543864,0.0,0.0,22676.970721896738
Ховрино,12.567850421481385,12.054226099115175,20.94142676195232,0.40430880892896365,0.7129223559801029,7885350.97176374,0.8899994456750764,8859950.430398973,12.419703375904382,12.054226099115175,20.94142676195232,0.41231397043895773,0.720927517490097,7895989.771888623,0.8912002199015755,8859950.430398973,-0.1481470455770033,0.0,0.0,0.008005161509994085,0.008005161509994085,10638.80012488272
Пресненский,124.66405750493182,125.16031782337632,133.50425554293426,0.0,0.0,3139212.4574073716,0.19999999999999998,15696062.28703686,86.19666986649587,85.12859007645675,99.46516308835176,0.0,0.0,3139212.4574073716,0.19999999999999998,15696062.28703686,-38.46738763843595,-40.03172774691957,-34.0390924545825,0.0,0.0,0.0
Свиблово,28.933543115545348,28.455260093235083,37.95174745988109,0.0,0.0,3344562.0916476985,0.6319155108523304,5292736.187368685,11.736462508444747,12.35395867241565,18.733130835747282,0.44845492928027164,0.7392489334004241,4791030.5792029165,0.9052086500432218,5292736.187368685,-17.197080607100602,-16.101301420819432,-19.21861662413381,0.44845492928027164,0.7392489334004241,1446468.487555218
Коптево,53.31375512608074,51.144990976650085,68.3655957825644,0.0,0.0,2000532.0337736078,0.34197011386726744,5850020.0826031715,53.31375512608074,51.144990976650085,68.3655957825644,0.0,0.0,2000532.0337736078,0.34197011386726744,5850020.0826031715,0.0,0.0,0.0,0.0,0.0,0.0
Проспект Вернадского,26.6846652435806,28.353909596615313,37.36413841804128,0.0,0.11674787334947896,4012984.689284086,0.6513688863189535,6160847.982719061,25.256774127467445,25.792702368310916,37.19769173381993,0.0,0.11674787334947896,4181078.6646933956,0.678653113406005,6160847.982719061,-1.4278911161131553,-2.561207228304397,-0.16644668422134856,0.0,0.0,168093.97540930938
Южнопортовый,125.1320749616417,123.87527845237831,139.10741325561034,0.0,0.0,1006612.6795626401,0.20000000000000007,5033063.397813199,43.29535730630101,43.110370337971794,59.274560812653064,0.0,0.0,2309280.8380257334,0.45882212392339145,5033063.397813199,-81.83671765534069,-80.76490811440652,-79.83285244295728,0.0,0.0,1302668.1584630932
Северное Измайлово,29.07470141927977,29.315070490863565,37.73088804971734,0.0,0.012107670616280885,2928385.2411832786,0.6168246003651667,4747516.943146631,29.07470141927977,29.315070490863565,37.73088804971734,0.0,0.012107670616280885,2928385.2411832786,0.6168246003651667,4747516.943146631,0.0,0.0,0.0,0.0,0.0,0.0
Марьина Роща,97.4040213382781,97.23154572083023,110.63870426425454,0.0,0.0,911264.6672254287,0.19999999999999998,4556323.336127144,92.1023241546434,93.46800390167118,101.21644979399535,0.0,0.0,911264.6672254287,0.19999999999999998,4556323.336127144,-5.301697183634701,-3.7635418191590446,-9.42225447025919,0.0,0.0,0.0
Кузьминки,77.44844550330825,76.5822421153122,87.51807540636649,0.0,0.0,1541697.0741557514,0.20184525694056973,7638014.871014188,77.44844550330825,76.5822421153122,87.51807540636649,0.0,0.0,1541697.0741557514,0.20184525694056973,7638014.871014188,0.0,0.0,0.0,0.0,0.0,0.0
Новогиреево,78.88766745031522,78.41176660394383,86.65601599058658,0.0,0.0,1043734.9653805584,0.2,5218674.826902792,78.81025108660216,78.41176660394383,86.65601599058658,0.0,0.0,1043734.9653805584,0.2,5218674.826902792,-0.0774163637130556,0.0,0.0,0.0,0.0,0.0
Бутырский,73.22340271348583,69.43656820501165,96.94346668306272,0.0,0.0,1219663.2387579584,0.22775019903572732,5355267.498873312,73.22340271348583,69.43656820501165,96.94346668306272,0.0,0.0,1219663.2387579584,0.22775019903572732,5355267.498873312,0.0,0.0,0.0,0.0,0.0,0.0
Филёвский Парк,86.8720667062048,85.6937826946194,115.47526073860928,0.0,0.0,1620072.1145271147,0.20429087207426222,7930222.716647852,64.8448871137679,66.13338407191625,76.71514231232695,0.0,0.0,1950224.9289854346,0.24592309682442376,7930222.716647852,-22.02717959243691,-19.560398622703147,-38.76011842628233,0.0,0.0,330152.8144583199
Войковский,63.2575854756928,65.66223876235794,79.03990644819861,0.0,0.0,1602024.7302439688,0.2726299408529634,5876187.792257138,63.186143212790164,65.66223876235794,77.99968580553241,0.0,0.0,1602024.7302439688,0.2726299408529634,5876187.792257138,-0.07144226290263589,0.0,-1.040220642666199,0.0,0.0,0.0
Беговой,126.8839196922493,126.0899892191186,139.34991885645383,0.0,0.0,594917.6943753674,0.2,2974588.471876837,95.9028777203622,97.32747154816994,104.65666863460063,0.0,0.0,594917.6943753674,0.2,2974588.471876837,-30.981041971887095,-28.762517670948668,-34.69325022185319,0.0,0.0,0.0
Красносельский,131.09987814176847,130.64350402826656,143.78590622365147,0.0,0.0,824517.1006924564,0.19999999999999998,4122585.503462282,61.63129543399455,61.19531496572032,68.23380402855665,0.0,0.0,1028338.748280728,0.24944024748961435,4122585.503462282,-69.46858270777392,-69.44818906254625,-75.55210219509482,0.0,0.0,203821.64758827165
Дмитровский,17.039918193497208,16.211485742486857,27.901617350017567,0.28224618852767425,0.4274498891429103,5747471.866858579,0.8270886372718467,6949039.810069964,9.24482579843144,8.743609425295334,13.525814345856626,0.6540364374539618,0.9828908824849069,6565944.343755587,0.9448707336862242,6949039.810069964,-7.795092395065767,-7.467876317191523,-14.375803004160941,0.37179024892628754,0.5554409933419966,818472.4768970078
Соколиная Гора,73.84022870705527,74.87064009097975,88.69171004743582,0.0,0.0,1269785.059116802,0.22625674816557506,5612142.264979302,54.66619209837872,53.78537683360297,71.39740335735483,0.0,0.0,1933814.632481304,0.3445769086340929,5612142.264979302,-19.174036608676552,-21.08526325737678,-17.294306690080987,0.0,0.0,664029.573364502
Хорошёвский,135.27799191725842,139.30282869277127,145.5366883176426,0.0,0.0,1741079.9397718725,0.2,8705399.698859362,63.98892958801853,64.4198912428314,76.03188213227209,0.0,0.0,2198735.918846987,0.2525715067551786,8705399.698859362,-71.2890623292399,-74.88293744993987,-69.5048061853705,0.0,0.0,457655.9790751147
Таганский,142.92551254070625,143.64461614359035,148.58245048840914,0.0,0.0,2051520.0099209603,0.20000000000000004,10257600.0496048,15.170582178933342,14.676453046926321,25.182623191971462,0.252259546241896,0.5063354445999739,8615354.556159655,0.8398996368055492,10257600.0496048,-127.7549303617729,-128.96816309666403,-123.39982729643768,0.252259546241896,0.5063354445999739,6563834.546238694
Отрадное,22.755481326187184,24.413483705237645,34.647907391057295,0.13511826567032667,0.24450418563859724,9279467.137128752,0.728254193946024,12742071.675342137,14.218018266750974,14.133054904337959,22.265329450820754,0.31895089746980104,0.5211854691622473,11073464.54755117,0.8690474225615935,12742071.675342137,-8.53746305943621,-10.280428800899687,-12.38257794023654,0.18383263179947437,0.27668128352365007,1793997.4104224183
Щербинка,83.50141911907946,82.25967508781609,93.22016395003044,0.0,0.0,898132.8473676833,0.20000000000000007,4490664.236838415,83.50141911907946,82.25967508781609,93.22016395003044,0.0,0.0,898132.8473676833,0.20000000000000007,4490664.236838415,0.0,0.0,0.0,0.0,0.0,0.0
Котловка,46.01991208246432,48.281661744848506,56.99969638108927,0.0,0.0,1646948.255271726,0.43320485229571914,3801777.0266051125,46.01991208246432,48.281661744848506,56.99969638108927,0.0,0.0,1646948.255271726,0.43320485229571914,3801777.0266051125,0.0,0.0,0.0,0.0,0.0,0.0
Зябликово,64.719666572001,66.45078356448168,74.35039483044838,0.0,0.0,1436599.4624573695,0.24663591078923777,5824778.143054005,64.719666572001,66.45078356448168,74.35039483044838,0.0,0.0,1436599.4624573695,0.24663591078923777,5824778.143054005,0.0,0.0,0.0,0.0,0.0,0.0
